3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,Id,MP,ORB,Opp,PF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7
0,0,0,0,38-015,0,1,13/12/2001,2,1,2,2,1,2,8,0,6.7,newmajo01,5:00,0,CLE,0,6,8,1,0,1,DAL,0,W (+20)
0,0,0,4,38-015,0,4,02/01/2002,3,0.6,5,0,0,0,27,1,7.8,oaklech01,38:00:00,1,DAL,4,6,27,2,1,5,CHI,0,L (-10)
0,0,0,1,38-017,0,8,04/01/2002,6,0.667,9,0,0,0,28,1,12.5,oaklech01,29:00:00,5,WAS,3,12,28,0,1,13,CHI,@,L (-6)
0,0,0,4,38-018,0,8,05/01/2002,4,0.5,8,2,1,2,29,1,9.9,oaklech01,32:00:00,1,UTA,5,10,29,1,1,9,CHI,0,L (-2)
0,0,0,4,38-020,0,4,07/01/2002,3,0.429,7,0,0,0,30,1,3.1,oaklech01,34:00:00,0,SEA,3,6,30,2,4,4,CHI,0,L (-12)
0,0,0,2,38-022,0,8,09/01/2002,2,0.25,8,0,0,0,31,1,3.1,oaklech01,27:00:00,3,TOR,5,4,31,2,2,11,CHI,0,L (-12)
0,0,0,1,38-024,1,3,11/01/2002,3,0.75,4,2,1,2,32,1,4.4,oaklech01,23:00,1,IND,5,8,32,1,4,4,CHI,@,L (-7)
0,0,0,2,38-025,0,7,12/01/2002,3,0.333,9,0,0,0,33,1,1.5,oaklech01,29:00:00,1,LAL,4,6,33,0,2,8,CHI,0,W (+2)
2,1,2,1,38-031,0,4,29/12/2001,3,0.5,6,1,0.5,2,9,0,7.5,newmajo01,15:00,2,ATL,1,9,9,0,1,6,DAL,0,W (+16)
0,0,0,1,38-032,0,9,19/01/2002,0,0,3,0,0,0,34,1,0.2,oaklech01,22:00,3,WAS,3,0,34,1,3,12,CHI,0,L (-8)
0,0,0,0,38-034,0,5,21/01/2002,2,0.4,5,1,0.5,2,35,1,1.6,oaklech01,15:00,2,IND,3,5,35,0,2,7,CHI,0,L (-12)
1,0.25,4,1,38-035,0,1,02/01/2002,1,0.167,6,2,0.5,4,10,1,-0.2,newmajo01,24:00:00,0,CHI,4,5,10,0,0,1,DAL,@,W (+10)
0,0,0,1,38-035,1,4,22/01/2002,2,0.4,5,0,0,0,36,1,4.1,oaklech01,23:00,0,MIA,2,4,36,2,1,4,CHI,@,L (-13)
0,0,0,0,38-036,0,2,03/01/2002,1,0.5,2,0,0,0,11,0,0.6,newmajo01,14:00,0,NYK,0,2,11,0,1,2,DAL,@,L (-7)
0,0,0,1,38-039,0,5,26/01/2002,2,0.4,5,0,0,0,37,1,5,oaklech01,22:00,1,MEM,3,4,37,3,1,6,CHI,0,W (+3)
0,0,1,0,38-041,0,1,08/01/2002,4,0.5,8,0,0,2,12,1,3.6,newmajo01,24:00:00,1,DEN,4,8,12,1,0,2,DAL,0,W (+1)
0,0,0,0,38-042,1,2,29/01/2002,1,0.333,3,0,0,0,38,1,-0.2,oaklech01,20:00,0,PHO,2,2,38,1,2,2,CHI,@,L (-1)
0,0,0,0,38-043,0,0,10/01/2002,3,1,3,3,1,3,13,1,4.7,newmajo01,14:00,0,NYK,6,9,13,0,1,0,DAL,0,W (+22)
0,0,0,1,38-043,0,4,30/01/2002,0,0,2,0,0,0,39,1,-2.3,oaklech01,12:00,0,UTA,2,0,39,0,2,4,CHI,@,L (-12)
0,0,2,0,38-045,0,2,12/01/2002,2,0.4,5,2,1,2,14,1,4.5,newmajo01,20:00,0,IND,1,6,14,1,0,2,DAL,0,W (+9)
1,0.25,4,1,38-047,0,1,14/01/2002,3,0.5,6,2,1,2,15,1,6.8,newmajo01,34:00:00,0,ORL,3,9,15,2,1,1,DAL,@,L (-26)
0,0,3,1,38-048,0,2,15/01/2002,1,0.2,5,0,0,0,16,0,-1.8,newmajo01,15:00,0,ATL,5,2,16,2,2,2,DAL,@,W (+9)
3,0.75,4,0,38-050,0,2,17/01/2002,3,0.6,5,2,0.5,4,17,1,8.7,newmajo01,19:00,0,MEM,2,11,17,1,0,2,DAL,@,W (+11)
0,0,0,0,38-052,0,0,19/01/2002,0,0,0,3,0.75,4,18,0,1.8,newmajo01,5:00,0,UTA,2,3,18,0,0,0,DAL,0,W (+3)
1,0.5,2,1,38-054,0,1,21/01/2002,1,0.333,3,4,1,4,19,0,5.1,newmajo01,19:00,0,NJN,3,7,19,0,0,1,DAL,0,W (+8)
0,0,1,0,38-055,0,0,22/01/2002,0,0,1,2,1,2,20,0,-0.1,newmajo01,14:00,0,HOU,1,2,20,0,1,0,DAL,@,W (+6)
1,0.5,2,1,38-057,0,0,24/01/2002,2,0.4,5,0,0,0,21,1,5,newmajo01,15:00,0,DEN,0,5,21,2,0,0,DAL,@,W (+7)
0,0,0,1,38-059,0,1,26/01/2002,2,0.667,3,0,0,0,22,1,3.3,newmajo01,19:00,0,LAC,1,4,22,0,0,1,DAL,@,W (+21)
0,0,0,0,38-061,0,0,02/11/2001,0,0,2,0,0,0,1,0,-1.1,mitchsa01,4:00,1,MEM,1,0,1,0,0,1,MIN,0,W (+9)
0,0,0,0,38-065,0,1,06/11/2001,2,0.667,3,1,0.5,2,2,0,3.2,mitchsa01,6:00,0,NYK,1,5,2,0,0,1,MIN,0,W (+10)
0,0,0,0,38-066,0,4,22/02/2002,1,0.5,2,0,0,0,40,0,0.8,oaklech01,16:00,2,PHO,2,2,40,0,2,6,CHI,0,W (+8)
1,0.5,2,0,38-067,0,2,08/11/2001,4,0.8,5,2,1,2,3,0,9.7,mitchsa01,14:00,0,CHI,0,11,3,0,0,2,MIN,0,W (+53)
0,0,0,0,38-067,0,0,03/02/2002,0,0,0,0,0,0,23,0,0,newmajo01,5:00,0,LAL,0,0,23,0,0,0,DAL,0,L (-7)
0,0,0,0,38-067,0,2,23/02/2002,1,0.2,5,1,0.5,2,41,0,-0.3,oaklech01,24:00:00,2,GSW,2,3,41,0,1,4,CHI,0,W (+14)
0,0,0,0,38-069,0,1,10/11/2001,0,0,0,0,0,0,4,0,-0.1,mitchsa01,3:00,0,MIL,1,0,4,0,0,1,MIN,@,W (+16)
0,0,0,0,38-069,1,0,05/02/2002,0,0,1,2,1,2,24,0,2.5,newmajo01,12:00,1,IND,3,2,24,1,0,1,DAL,@,W (+1)
0,0,0,0,38-070,0,1,06/02/2002,1,0.333,3,4,1,4,25,0,5.9,newmajo01,12:00,1,NJN,1,6,25,1,0,2,DAL,@,W (+12)
0,0,0,0,38-072,0,0,13/11/2001,0,0,1,0,0,0,5,0,-0.7,mitchsa01,1:00,0,CLE,0,0,5,0,0,0,MIN,0,L (-4)
0,0,0,0,38-075,0,1,16/11/2001,0,0,0,0,0,0,6,0,-0.1,mitchsa01,7:00,0,IND,1,0,6,0,0,1,MIN,@,W (+7)
0,0,0,1,38-075,0,2,03/03/2002,2,0.5,4,1,0.5,2,42,0,6.2,oaklech01,24:00:00,3,NJN,2,5,42,2,1,5,CHI,@,L (-8)
0,0,1,1,38-076,0,0,17/11/2001,0,0,1,0,0,0,7,0,-3,mitchsa01,4:00,0,ORL,0,0,7,0,3,0,MIN,0,W (+8)
0,0,1,0,38-076,0,0,12/02/2002,1,0.5,2,0,0,0,26,0,-1.4,newmajo01,11:00,0,SEA,1,2,26,0,2,0,DAL,@,W (+6)
0,0,0,0,38-077,0,0,13/02/2002,0,0,0,0,0,0,27,0,0,newmajo01,1:00,0,POR,0,0,27,0,0,0,DAL,@,L (-11)
0,0,0,3,38-077,0,4,05/03/2002,0,0,4,1,0.5,2,43,0,-1.1,oaklech01,21:00,0,WAS,3,1,43,0,1,4,CHI,@,L (-25)
0,0,0,4,38-078,2,7,06/03/2002,3,0.75,4,0,0,0,44,0,5.3,oaklech01,33:00:00,0,MIA,6,6,44,0,3,7,CHI,0,L (-5)
0,0,0,0,38-079,0,0,20/11/2001,0,0,0,0,0,0,8,0,0.7,mitchsa01,2:00,1,MIA,0,0,8,0,0,1,MIN,@,W (+7)
1,0.5,2,0,38-080,0,0,21/11/2001,2,0.5,4,0,0,0,9,0,3,mitchsa01,7:00,0,ORL,0,5,9,0,0,0,MIN,@,L (-11)
0,0,0,0,38-080,0,0,16/02/2002,1,1,1,0,0,0,28,0,1.7,newmajo01,3:00,0,LAC,0,2,28,0,0,0,DAL,@,L (-9)
0,0,0,1,38-080,0,1,08/03/2002,3,0.5,6,0,0,0,45,0,0,oaklech01,16:00,0,LAC,5,6,45,0,2,1,CHI,0,L (-4)
3,0.75,4,0,38-081,1,5,17/02/2002,6,0.75,8,2,1,2,29,0,16.6,newmajo01,26:00:00,0,PHO,1,17,29,1,0,5,DAL,@,W (+13)
